ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
0303.HK,2024-09-01,Communication Equipment,Technology,12642505728.0,1.275,0.07764,9.863813,50.7,42.8,61.7,1262300000.0,473200000.0,196200000.0,196900000.0,2024-03-31,-21.7,15.58
0305.HK,2024-09-01,Auto Parts,Consumer Cyclical,3804069888.0,0.895,0.00252,34.0,0.34,0.29,0.67,15050774000.0,11025659000.0,197969000.0,165066000.0,2023-12-31,-97.06,14.71
0306.HK,2024-09-01,Railroads,Industrials,2141928448.0,0.638,0.015310001,21.285715,1.49,1.47,1.92,4577449000.0,784731000.0,185265000.0,128629000.0,2024-03-31,-28.86,1.34
0308.HK,2024-09-01,Leisure,Consumer Cyclical,6367536640.0,0.593,0.01717,25.0,1.0,0.95,1.62,25014439000.0,4210212000.0,714728000.0,460401000.0,2023-12-31,-62.0,5.0
0315.HK,2024-09-01,Telecom Services,Communication Services,3638140160.0,1.281,0.04079,16.695652,3.84,3.58,4.32,10898943000.0,2704204000.0,583725000.0,500374000.0,2023-06-30,-12.5,6.77
0316.HK,2024-09-01,Marine Shipping,Industrials,66267217920.0,10.137,0.12693,8.58386,108.5,91.7,146.2,15609185000.0,2371989000.0,1409057000.0,877294000.0,2023-12-31,-34.75,15.48
0318.HK,2024-09-01,Information Technology Services,Technology,77113912.0,0.387,0.10313,3.625,0.29,0.26,0.4,609358000.0,70312000.0,24148000.0,26210000.0,2023-04-30,-37.93,10.34
0320.HK,2024-09-01,Consumer Electronics,Technology,428144288.0,0.269,0.02099,4.95,0.495,0.29,0.57,2620928000.0,1136117000.0,173257000.0,166157000.0,2024-03-31,-15.15,41.41
0322.HK,2024-09-01,Packaged Foods,Consumer Defensive,64555966464.0,2.329,0.041690003,16.123077,10.48,7.07,11.76,53149654000.0,29193014000.0,5298583000.0,4134045000.0,2023-12-31,-12.21,32.54
0327.HK,2024-09-01,Business Equipment & Supplies,Industrials,2001299200.0,2.783,0.15585,5.1477275,4.53,3.97,6.94,9075329000.0,1488815000.0,1259340000.0,1205013000.0,2023-12-31,-53.2,12.36
0331.HK,2024-09-01,Engineering & Construction,Industrials,2410089984.0,1.139,0.06105,4.981651,5.43,5.35,6.05,3990434000.0,2928985000.0,634662000.0,618594000.0,2023-06-30,-11.42,1.47
0334.HK,2024-09-01,Electronic Components,Technology,267765712.0,0.017,0.00861,14.5,0.145,0.145,0.32,2531877000.0,1509797000.0,18998000.0,19241000.0,2023-12-31,-120.69,0.0
0335.HK,2024-09-01,Capital Markets,Financial Services,1953198464.0,0.115,1.0503,26.666668,0.8,0.56,0.84,3071342000.0,280848000.0,98111000.0,94172000.0,2024-03-31,-5.0,30.0
0336.HK,2024-09-01,Specialty Chemicals,Basic Materials,3535858688.0,1.86,0.03259,29.0,2.32,2.0,2.95,16002111000.0,1382547000.0,440771000.0,462741000.0,2023-12-31,-27.16,13.79
0340.HK,2024-09-01,Gold,Basic Materials,2679828992.0,0.048,0.0775,18.000002,0.54,0.37,0.64,4554860000.0,1030926000.0,97327000.0,91775000.0,2023-12-31,-18.52,31.48
0341.HK,2024-09-01,Restaurants,Consumer Cyclical,5908664832.0,2.169,0.03802,14.210527,8.1,7.72,10.6,6513924000.0,1908093000.0,498120000.0,487394000.0,2024-03-31,-30.86,4.69
0345.HK,2024-09-01,Packaged Foods,Consumer Defensive,5072539136.0,0.741,0.01872,44.090908,4.85,4.62,10.3,5849519000.0,2471922000.0,81340000.0,61675000.0,2023-03-31,-112.37,4.74
0353.HK,2024-09-01,Oil & Gas Equipment & Services,Energy,674058432.0,0.557,0.27774,6.0833335,0.365,0.26,1.5,2164668000.0,206320000.0,131381000.0,121678000.0,2024-03-31,-310.96,28.77
0354.HK,2024-09-01,Information Technology Services,Technology,10547755008.0,1.143,0.03901,14.461539,3.76,3.38,6.98,17067670000.0,2962210000.0,936780000.0,929199000.0,2023-12-31,-85.64,10.11
0358.HK,2024-09-01,Copper,Basic Materials,88573657088.0,18.243,0.01282,6.1209297,13.16,9.95,19.1,168150905428.0,70296030842.0,9935636078.0,8964037183.0,2023-12-31,-45.14,24.39
0363.HK,2024-09-01,Conglomerates,Industrials,74403528704.0,25.616,0.10471,3.8127089,11.4,9.0,12.8,179311612000.0,47424656000.0,11072909000.0,9679108000.0,2023-12-31,-12.28,21.05
0368.HK,2024-09-01,Engineering & Construction,Industrials,590238272.0,0.072,0.021189999,7.3333335,0.22,0.205,0.43,870322000.0,668957000.0,57350000.0,60837000.0,2023-12-31,-95.45,6.82
0371.HK,2024-09-01,Utilities—Regulated Water,Utilities,112036642816.0,0.893,0.07424,14.25,2.28,1.48,2.78,182435665443.09174,46849499872.37254,7993947544.677369,5784689742.23401,2023-12-31,-21.93,35.09
0374.HK,2024-09-01,Packaged Foods,Consumer Defensive,1361529088.0,2.029,0.00889,27.777777,2.5,2.32,2.62,2928143000.0,1478803000.0,95578000.0,95865000.0,2024-03-31,-4.8,7.2
0381.HK,2024-09-01,Leisure,Consumer Cyclical,254180400.0,1.623,0.09693,0.13846155,0.108,0.088,0.25,770281000.0,277349000.0,96142000.0,42080000.0,2023-12-31,-131.48,18.52
0382.HK,2024-09-01,Education & Training Services,Consumer Defensive,3364292096.0,1.398,0.30452,3.4531252,2.21,2.13,2.83,8495293000.0,2572455000.0,746323000.0,755620000.0,2023-08-31,-28.05,3.62
0383.HK,2024-09-01,Medical Care Facilities,Healthcare,1004070656.0,0.765,0.01942,28.333334,0.85,0.58,1.0,3617395000.0,1144872000.0,83211000.0,51487000.0,2023-12-31,-17.65,31.76
0384.HK,2024-09-01,Utilities—Regulated Gas,Utilities,93803208704.0,1.501,0.03912,11.186441,6.6,6.35,8.43,148697724000.0,50382257000.0,6734198000.0,5968211000.0,2024-03-31,-27.73,3.79
0385.HK,2024-09-01,Engineering & Construction,Industrials,255267232.0,1.791,0.0155299995,1.9722221,0.355,0.27,0.5,5573294000.0,3146506000.0,114335000.0,112682000.0,2023-12-31,-40.85,23.94
0386.HK,2024-09-01,Oil & Gas Integrated,Energy,1101901070336.0,1.468,0.01856,9.298246,5.3,3.64,5.46,1948640000000.0,667385000000.0,110066000000.0,96315000000.0,2022-12-31,-3.02,31.32
0387.HK,2024-09-01,Specialty Industrial Machinery,Industrials,265892000.0,0.141,0.02599,12.5,0.75,0.35,0.9,820783000.0,312392000.0,27490000.0,37102000.0,2023-12-31,-20.0,53.33
0388.HK,2024-09-01,Financial Data & Stock Exchanges,Financial Services,59040804864.0,195.613,0.57113,26.102062,240.4,212.2,316.8,341179000000.0,286511000000.0,19427000000.0,8478000000.0,2023-12-31,-31.78,11.73
0390.HK,2024-09-01,Engineering & Construction,Industrials,503905091584.0,7.029,0.02633,2.5857143,3.62,3.06,4.67,1829439189000.0,1010641883000.0,40875206000.0,59165442000.0,2023-12-31,-29.01,15.47
