ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
VCF.VN,2024-09-01,Packaged Foods,Consumer Defensive,6082357886976.0,46951.13,0.18243,16.07717,267000.0,176000.0,285500.0,2828087924326.0,524261483611.0,560423421178.0,455627897743.0,2024-06-30,-6.93,34.08
VCG.VN,2024-09-01,Conglomerates,Industrials,20402925469696.0,4602.35,0.07361,13.422819,18800.0,16400.0,26473.215,28644173301000.0,12980936219886.0,1658783947833.0,1469458169546.0,2024-06-30,-40.81,12.77
VCI.VN,2024-09-01,Capital Markets,Financial Services,28127795347456.0,11112.387,0.31638,26.041666,46450.0,32500.0,55200.0,23105371788635.0,13597525115321.0,1554918503048.0,885207412878.0,2024-06-30,-18.84,30.03
VDS.VN,2024-09-01,Capital Markets,Financial Services,6208965050368.0,8283.36,0.47998002,11.961722,21300.0,11255.605,24663.678,6048629391321.0,3360690383204.0,764003867161.0,386516275429.0,2024-06-30,-15.79,47.16
VGC.VN,2024-09-01,Building Products & Equipment,Industrials,24703982895104.0,4156.418,0.06724,24.875622,44200.0,39150.0,60900.0,23641449531009.0,7510259255477.0,1507490426811.0,1489479100544.0,2024-06-30,-37.78,11.43
VHC.VN,2024-09-01,Packaged Foods,Consumer Defensive,16584771895296.0,11715.34,0.06684,21.73913,73600.0,52166.668,82200.0,12219147818046.0,3468437767636.0,1062258273574.0,794724244544.0,2024-06-30,-11.68,29.12
VHM.VN,2024-09-01,Real Estate Services,Real Estate,238309884297216.0,6558.312,0.30016002,7.7101007,41500.0,34000.0,57000.0,494460750000000.0,224582896000000.0,33322167000000.0,21905153000000.0,2024-06-30,-37.35,18.07
VIC.VN,2024-09-01,Real Estate Services,Real Estate,387088423845888.0,8807.285,0.02708,45.87156,44200.0,38700.0,63900.0,722259294000000.0,418112834000000.0,26011867000000.0,5302017000000.0,2024-06-30,-44.57,12.44
VIP.VN,2024-09-01,Marine Shipping,Industrials,1143827857408.0,2521.33,0.37820998,15.77287,12650.0,10200.0,17250.0,1357288812869.0,100503197126.0,105929133317.0,42225136571.0,2024-06-30,-36.36,19.37
VJC.VN,2024-09-01,Airlines,Industrials,87311685517312.0,9250.086,0.01925,47.169807,105300.0,94000.0,119600.0,91755221952015.0,37845075960398.0,3666096152409.0,2391974140577.0,2024-06-30,-13.58,10.73
